Item ID,Mission ID,Type,Title,Description,Agent,Priority,Impact Score,Confidence %,Approval Req,Status,Data Source
blg_db3e8413b4fc,mis_cat_toys_recovery,internal_linking_proposal,Internal Links Improvement,Rebuild internal links connecting to cat food and supplies clusters.,content_agent,medium,Confidence-weighted impact score: 5.65/10,61.2,none,pending,LIVE DATA
blg_3d4c2a9cdd7f,mis_cat_toys_recovery,schema_proposal,Answer-Readiness Enhancement,Add direct-answer blocks and structured data for AI search.,manager_agent,low,Confidence-weighted impact score: 3.93/10,63.9,none,pending,SIMULATED SCENARIO
blg_8013e1d76741,mis_cat_toys_recovery,metadata_proposal,Cat Toys Metadata Refresh,Update titles and descriptions to reflect refreshed content.,social_agent,medium,Confidence-weighted impact score: 4.02/10,83.8,none,pending,LIVE DATA
blg_84f1fad956da,mis_cat_toys_recovery,evidence_requirement,Cat Toys Product Relevance Audit,Audit all recommended products for availability and relevance.,product_research_agent,high,Confidence-weighted impact score: 4.36/10,70.1,none,pending,LIVE DATA
blg_6e25d6b5ad81,mis_cat_toys_recovery,cro_recommendation,Cat Toys Above-Fold Optimisation,Improve above-fold content to reduce bounce rate.,content_agent,low,Confidence-weighted impact score: 7.58/10,47.6,none,pending,LIVE DATA
blg_257b2e5bfba2,mis_cat_toys_recovery,customer_journey_improvement,Cat Toys Age-Based Recommendations,Add age and activity-based toy recommendation paths.,engagement_agent,medium,Confidence-weighted impact score: 3.47/10,61.1,none,pending,MODELLED FORECAST
blg_1d5f32c3ddd6,mis_cat_toys_recovery,affiliate_placement_review,Cat Toys Affiliate Link Audit,Replace discontinued links and improve affiliate integration.,manager_agent,high,Confidence-weighted impact score: 4.06/10,88.4,none,pending,MODELLED FORECAST
blg_1602d68595cf,mis_homepage_engagement,customer_journey_improvement,Category Routes Improvement,Redesign category routing for clearer dog/cat pathways.,social_agent,critical,Confidence-weighted impact score: 3.39/10,64.0,none,pending,LIVE DATA
blg_28de0ca3b62c,mis_homepage_engagement,trust_signal_improvement,Trust Signals,"Add methodology, about, and evidence components above fold.",affiliate_agent,medium,Confidence-weighted impact score: 4.65/10,74.1,none,pending,SIMULATED SCENARIO
blg_09190d928825,mis_homepage_engagement,content_brief,Start Here Sections,Welcoming entry sections guiding dog and cat owners to key content.,affiliate_agent,low,Confidence-weighted impact score: 2.45/10,57.5,none,pending,MODELLED FORECAST
blg_16b6c47b521c,mis_homepage_engagement,customer_journey_improvement,Dog/Cat Pathways,Create clear dog vs cat entry pathways with visual navigation.,seo_agent,low,Confidence-weighted impact score: 8.74/10,76.3,none,pending,MODELLED FORECAST
blg_47176f45f0a2,mis_homepage_engagement,internal_linking_proposal,Authority Flow Improvement,Restructure homepage links to distribute authority to money pages.,product_research_agent,high,Confidence-weighted impact score: 3.85/10,58.9,none,pending,ESTIMATED / PROXY SCORE
blg_2f7431c378ef,mis_homepage_engagement,metadata_proposal,Homepage Meta & Schema Update,"Optimise title, description, and organisation schema.",manager_agent,high,Confidence-weighted impact score: 3.83/10,56.7,none,pending,ESTIMATED / PROXY SCORE
blg_04779380f634,mis_homepage_engagement,customer_journey_improvement,Mobile Navigation Friction Reduction,Improve mobile homepage experience to reduce friction.,seo_agent,high,Confidence-weighted impact score: 4.02/10,50.7,none,pending,SIMULATED SCENARIO
blg_74a9ab8d0605,mis_homepage_engagement,cro_recommendation,Homepage Dynamic Popular Section,Add 'Popular right now' dynamic section based on trending content.,manager_agent,critical,Confidence-weighted impact score: 3.27/10,51.5,none,pending,ESTIMATED / PROXY SCORE
blg_27ac0abc91e7,mis_ai_search_adaptation,content_brief,Answer-Ready Summaries,Standardised answer-ready summaries across dog_food cluster.,analytics_agent,medium,Confidence-weighted impact score: 7.84/10,57.7,none,pending,SIMULATED SCENARIO
blg_7985cffc78fc,mis_ai_search_adaptation,evidence_requirement,Evidence Sections,Evidence section format with source attribution and methodology.,engagement_agent,medium,Confidence-weighted impact score: 9.04/10,47.8,none,pending,LIVE DATA
blg_f9199e902465,mis_ai_search_adaptation,schema_proposal,Entity Completeness,Ensure entity completeness across target clusters.,product_research_agent,high,Confidence-weighted impact score: 5.95/10,65.7,none,pending,SIMULATED SCENARIO
blg_c5696d081ba5,mis_ai_search_adaptation,metadata_proposal,Citation-Friendly Formatting,Clear headings and structured data optimised for AI citation.,engagement_agent,medium,Confidence-weighted impact score: 7.87/10,55.2,none,pending,ESTIMATED / PROXY SCORE
blg_2c9037e96151,mis_ai_search_adaptation,content_brief,Comparison Summaries,Concise comparison summaries suitable for AI extraction.,affiliate_agent,high,Confidence-weighted impact score: 7.59/10,57.7,none,pending,ESTIMATED / PROXY SCORE
blg_12e6778adcbe,mis_ai_search_adaptation,content_brief,Direct-Answer Blocks,Templates for direct-answer blocks targeting question-intent queries.,seo_agent,medium,Confidence-weighted impact score: 4.97/10,58.2,none,pending,LIVE DATA
blg_77761502b56f,mis_ai_search_adaptation,evidence_requirement,AI Search Readiness Baseline Audit,Audit current AI Overview citations and entity representation.,analytics_agent,low,Confidence-weighted impact score: 9.26/10,46.8,none,pending,LIVE DATA
blg_9f460a4f71a3,mis_ai_search_adaptation,internal_linking_proposal,Entity Cross-Link Map,Entity-level cross-links between semantically related topics.,seo_agent,medium,Confidence-weighted impact score: 6.68/10,78.9,none,pending,MODELLED FORECAST
blg_8f99fbcef54c,mis_ai_search_adaptation,product_research_task,Competitor AI Visibility Benchmark,Benchmark competitor AI search visibility and citation rates.,content_agent,medium,Confidence-weighted impact score: 6.9/10,59.9,none,pending,ESTIMATED / PROXY SCORE
