section,check,result,severity,detail,location,fix_status
5-Social,Last successful post per channel,INFO,LOW,"All channels: last_successful_post = null. No posts have been made yet.",API port 8103: /api/social/channels,Expected - channels not fully connected
5-Social,Retry queue,PASS,OK,"0 pending, 0 total. Clean queue.",API port 8103: /api/retry-queue,N/A
5-Social,DLQ entries,PASS,OK,"4 entries total: 1 escalated (seo_agent), 2 dismissed (content_agent + social_agent), 1 pending (manager_agent). All from integration testing.",API: /api/dlq/stats,N/A
5-Social,Instagram degraded state,PASS,OK,"status=degraded, degraded_reason='Meta API review pending', auto-posting correctly blocked",API port 8103: /api/social/channels/instagram,N/A
5-Social,Auto-posting blocked on degraded,PASS,OK,"can_auto_post=false for ALL channels. Facebook blocked due to 'API not connected'. Others blocked due to RED/degraded state.",API port 8103: /api/social/channels/*/can-post,N/A
6-Affiliate,Pages scanned,PASS,OK,"25 pages scanned by affiliate agent",API port 8107: /api/status,N/A
6-Affiliate,Pages with affiliate links,PASS,OK,"15 pages with affiliate links, 142 links found total",API port 8107: /api/status,N/A
6-Affiliate,Pages with disclosure,FAIL,MEDIUM,"Agent reports 5/15 pages have disclosure. WP source confirms 17/17 have disclosure div. Agent scan logic not detecting disclosure divs correctly.",API port 8107: /api/compliance vs WordPress source,Agent scan logic needs update
6-Affiliate,Links with rel=sponsored,FAIL,MEDIUM,"Agent reports 142 links missing rel=sponsored. WP source HTML confirms all 141 external links DO have rel=sponsored. Agent scan reads WP differently from actual source.",API port 8107: /api/compliance,Agent scan logic needs update
6-Affiliate,Duplicate tracking warning,PASS,OK,"No duplicate tracking scripts found (confirmed in WP source scan)",affiliate_source_sample.txt,N/A
7-Product Evidence,Register contains real entries,PASS,OK,"10 real product entries: Royal Canin, James Wellbeloved, Lily's Kitchen, Harringtons, Forthglade, Butcher's, Burns, Orijen etc.",product_evidence_register.json,N/A
7-Product Evidence,Entries linked to Dog Food pages,PASS,OK,"All 10 entries linked to Dog Food draft pages (3715/3717/3719/3720). No Cat Toys links (none created yet).",product_evidence_register.json - linked_pages field,N/A
7-Product Evidence,Prices/ratings/stock blocked if unverified,PASS,OK,"All 10 entries: evidence_status=partial, approval_status=blocked_pending_evidence, price/rating/stock_verification=not_verified. risk_flags and unverified_claims lists populated.",product_evidence_register.json,N/A
8-NOC,NaN timestamps,PASS,OK,"grep found 0 NaN in mission_control.json and dead_letter_queue.json. All timestamps valid ISO 8601.",Direct file grep,N/A
8-NOC,Event bus status,FAIL,LOW,"Returns empty {} - no meaningful status data from event bus API",API: /api/events/status,Needs event bus health endpoint
8-NOC,Kill switch status,FAIL,MEDIUM,"No /api/kill-switch/status endpoint found on manager agent. Kill switch module exists in code but no API route registered.",Manager agent API,Needs route registration
8-NOC,Recovery drill status,FAIL,LOW,"No /api/recovery/status endpoint. Drill was run manually and passed (64ms RTO).",Manager agent API,Consider adding status endpoint
8-NOC,DLQ status,PASS,OK,"DLQ API fully functional: stats + entries + lifecycle operations all working. 4 entries with valid statuses.",API: /api/dlq/stats,N/A
8-NOC,PostgreSQL pool status,PASS,OK,"PostgreSQL active (systemctl is-active = active)",systemctl status,N/A
8-NOC,Redis status,PASS,OK,"Redis responding (PING=PONG), 1.5M memory used",redis-cli ping + info memory,N/A
8-NOC,Google/GSC/GA4 labels,PASS,OK,"All missions labelled MODELLED FORECAST. No credentials directory = NOT CONNECTED. Clearly labelled.",mission_control.json + filesystem check,N/A
8-NOC,Contradictory healthy/down states,PASS,OK,"No contradictions found. All 9 services active. Social channels correctly show degraded where appropriate.",systemctl + API checks,N/A
8-NOC,Backup status,PARTIAL,HIGH,"May 25 backup: OK (766K .gpg file). May 26 03:00 backup: INCOMPLETE (log shows only 2 steps, no .gpg file, staging dir left over). Manual backup also fails (permission denied on live_intelligence.json).",/opt/pethub-agents/backups/,Needs backup script permission fix
